,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,total_bill,tip,sex,smoker,day,time,size,tip_rate,tip_and_bill
56,56,56,56,56,38.01,3.0,Male,Yes,Sat,Dinner,4,0.14,41.01
58,58,58,58,58,11.24,1.76,Male,Yes,Sat,Dinner,2,0.16,13.0
60,60,60,60,60,20.29,3.21,Male,Yes,Sat,Dinner,2,0.16,23.5
61,61,61,61,61,13.81,2.0,Male,Yes,Sat,Dinner,2,0.16,15.81
62,62,62,62,62,11.02,1.98,Male,Yes,Sat,Dinner,2,0.16,13.0
63,63,63,63,63,18.29,3.76,Male,Yes,Sat,Dinner,4,0.14,22.05
67,67,67,67,67,3.07,1.0,Female,Yes,Sat,Dinner,1,0.17,4.07
69,69,69,69,69,15.01,2.09,Male,Yes,Sat,Dinner,2,0.16,17.1
72,72,72,72,72,26.86,3.14,Female,Yes,Sat,Dinner,2,0.16,30.0
73,73,73,73,73,25.28,5.0,Female,Yes,Sat,Dinner,2,0.16,30.28
76,76,76,76,76,17.92,3.08,Male,Yes,Sat,Dinner,2,0.16,21.0
80,80,80,80,80,19.44,3.0,Male,Yes,Thur,Lunch,2,0.16,22.44
83,83,83,83,83,32.68,5.0,Male,Yes,Thur,Lunch,2,0.16,37.68
90,90,90,90,90,28.97,3.0,Male,Yes,Fri,Dinner,2,0.16,31.97
92,92,92,92,92,5.75,1.0,Female,Yes,Fri,Dinner,2,0.16,6.75
93,93,93,93,93,16.32,4.3,Female,Yes,Fri,Dinner,2,0.16,20.62
95,95,95,95,95,40.17,4.73,Male,Yes,Fri,Dinner,4,0.14,44.900000000000006
96,96,96,96,96,27.28,4.0,Male,Yes,Fri,Dinner,2,0.16,31.28
97,97,97,97,97,12.03,1.5,Male,Yes,Fri,Dinner,2,0.16,13.53
98,98,98,98,98,21.01,3.0,Male,Yes,Fri,Dinner,2,0.16,24.01
100,100,100,100,100,11.35,2.5,Female,Yes,Fri,Dinner,2,0.16,13.85
101,101,101,101,101,15.38,3.0,Female,Yes,Fri,Dinner,2,0.16,18.380000000000003
102,102,102,102,102,44.3,2.5,Female,Yes,Sat,Dinner,3,0.15,46.8
103,103,103,103,103,22.42,3.48,Female,Yes,Sat,Dinner,2,0.16,25.9
105,105,105,105,105,15.36,1.64,Male,Yes,Sat,Dinner,2,0.16,17.0
106,106,106,106,106,20.49,4.06,Male,Yes,Sat,Dinner,2,0.16,24.55
107,107,107,107,107,25.21,4.29,Male,Yes,Sat,Dinner,2,0.16,29.5
109,109,109,109,109,14.31,4.0,Female,Yes,Sat,Dinner,2,0.16,18.31
138,138,138,138,138,16.0,2.0,Male,Yes,Thur,Lunch,2,0.16,18.0
164,164,164,164,164,17.51,3.0,Female,Yes,Sun,Dinner,2,0.16,20.51
168,168,168,168,168,10.59,1.61,Female,Yes,Sat,Dinner,2,0.16,12.2
169,169,169,169,169,10.63,2.0,Female,Yes,Sat,Dinner,2,0.16,12.63
170,170,170,170,170,50.81,10.0,Male,Yes,Sat,Dinner,3,0.15,60.81
171,171,171,171,171,15.81,3.16,Male,Yes,Sat,Dinner,2,0.16,18.97
172,172,172,172,172,7.25,5.15,Male,Yes,Sun,Dinner,2,0.16,12.4
173,173,173,173,173,31.85,3.18,Male,Yes,Sun,Dinner,2,0.16,35.03
174,174,174,174,174,16.82,4.0,Male,Yes,Sun,Dinner,2,0.16,20.82
175,175,175,175,175,32.9,3.11,Male,Yes,Sun,Dinner,2,0.16,36.01
176,176,176,176,176,17.89,2.0,Male,Yes,Sun,Dinner,2,0.16,19.89
177,177,177,177,177,14.48,2.0,Male,Yes,Sun,Dinner,2,0.16,16.48
178,178,178,178,178,9.6,4.0,Female,Yes,Sun,Dinner,2,0.16,13.6
179,179,179,179,179,34.63,3.55,Male,Yes,Sun,Dinner,2,0.16,38.18
