,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,total_bill,tip,sex,smoker,day,time,size,tip_rate,tip_and_bill
0,0,0,0,0,16.99,1.01,Female,No,Sun,Dinner,2,0.16,18.0
1,1,1,1,1,10.34,1.66,Male,No,Sun,Dinner,3,0.15,12.0
2,2,2,2,2,21.01,3.5,Male,No,Sun,Dinner,3,0.15,24.51
3,3,3,3,3,23.68,3.31,Male,No,Sun,Dinner,2,0.16,26.99
4,4,4,4,4,24.59,3.61,Female,No,Sun,Dinner,4,0.14,28.2
5,5,5,5,5,25.29,4.71,Male,No,Sun,Dinner,4,0.14,30.0
6,6,6,6,6,8.77,2.0,Male,No,Sun,Dinner,2,0.16,10.77
7,7,7,7,7,26.88,3.12,Male,No,Sun,Dinner,4,0.14,30.0
8,8,8,8,8,15.04,1.96,Male,No,Sun,Dinner,2,0.16,17.0
9,9,9,9,9,14.78,3.23,Male,No,Sun,Dinner,2,0.16,18.009999999999998
10,10,10,10,10,10.27,1.71,Male,No,Sun,Dinner,2,0.16,11.98
11,11,11,11,11,35.26,5.0,Female,No,Sun,Dinner,4,0.14,40.26
12,12,12,12,12,15.42,1.57,Male,No,Sun,Dinner,2,0.16,16.99
13,13,13,13,13,18.43,3.0,Male,No,Sun,Dinner,4,0.14,21.43
14,14,14,14,14,14.83,3.02,Female,No,Sun,Dinner,2,0.16,17.85
15,15,15,15,15,21.58,3.92,Male,No,Sun,Dinner,2,0.16,25.5
16,16,16,16,16,10.33,1.67,Female,No,Sun,Dinner,3,0.15,12.0
17,17,17,17,17,16.29,3.71,Male,No,Sun,Dinner,3,0.15,20.0
18,18,18,18,18,16.97,3.5,Female,No,Sun,Dinner,3,0.15,20.47
19,19,19,19,19,20.65,3.35,Male,No,Sat,Dinner,3,0.15,24.0
20,20,20,20,20,17.92,4.08,Male,No,Sat,Dinner,2,0.16,22.0
21,21,21,21,21,20.29,2.75,Female,No,Sat,Dinner,2,0.16,23.04
22,22,22,22,22,15.77,2.23,Female,No,Sat,Dinner,2,0.16,18.0
23,23,23,23,23,39.42,7.58,Male,No,Sat,Dinner,4,0.14,47.0
24,24,24,24,24,19.82,3.18,Male,No,Sat,Dinner,2,0.16,23.0
25,25,25,25,25,17.81,2.34,Male,No,Sat,Dinner,4,0.14,20.15
26,26,26,26,26,13.37,2.0,Male,No,Sat,Dinner,2,0.16,15.37
27,27,27,27,27,12.69,2.0,Male,No,Sat,Dinner,2,0.16,14.69
28,28,28,28,28,21.7,4.3,Male,No,Sat,Dinner,2,0.16,26.0
29,29,29,29,29,19.65,3.0,Female,No,Sat,Dinner,2,0.16,22.65
30,30,30,30,30,9.55,1.45,Male,No,Sat,Dinner,2,0.16,11.0
31,31,31,31,31,18.35,2.5,Male,No,Sat,Dinner,4,0.14,20.85
32,32,32,32,32,15.06,3.0,Female,No,Sat,Dinner,2,0.16,18.060000000000002
33,33,33,33,33,20.69,2.45,Female,No,Sat,Dinner,4,0.14,23.14
34,34,34,34,34,17.78,3.27,Male,No,Sat,Dinner,2,0.16,21.05
35,35,35,35,35,24.06,3.6,Male,No,Sat,Dinner,3,0.15,27.66
36,36,36,36,36,16.31,2.0,Male,No,Sat,Dinner,3,0.15,18.31
37,37,37,37,37,16.93,3.07,Female,No,Sat,Dinner,3,0.15,20.0
38,38,38,38,38,18.69,2.31,Male,No,Sat,Dinner,3,0.15,21.0
39,39,39,39,39,31.27,5.0,Male,No,Sat,Dinner,3,0.15,36.269999999999996
40,40,40,40,40,16.04,2.24,Male,No,Sat,Dinner,3,0.15,18.28
41,41,41,41,41,17.46,2.54,Male,No,Sun,Dinner,2,0.16,20.0
42,42,42,42,42,13.94,3.06,Male,No,Sun,Dinner,2,0.16,17.0
43,43,43,43,43,9.68,1.32,Male,No,Sun,Dinner,2,0.16,11.0
44,44,44,44,44,30.4,5.6,Male,No,Sun,Dinner,4,0.14,36.0
45,45,45,45,45,18.29,3.0,Male,No,Sun,Dinner,2,0.16,21.29
46,46,46,46,46,22.23,5.0,Male,No,Sun,Dinner,2,0.16,27.23
47,47,47,47,47,32.4,6.0,Male,No,Sun,Dinner,4,0.14,38.4
48,48,48,48,48,28.55,2.05,Male,No,Sun,Dinner,3,0.15,30.6
49,49,49,49,49,18.04,3.0,Male,No,Sun,Dinner,2,0.16,21.04
50,50,50,50,50,12.54,2.5,Male,No,Sun,Dinner,2,0.16,15.04
51,51,51,51,51,10.29,2.6,Female,No,Sun,Dinner,2,0.16,12.889999999999999
52,52,52,52,52,34.81,5.2,Female,No,Sun,Dinner,4,0.14,40.010000000000005
53,53,53,53,53,9.94,1.56,Male,No,Sun,Dinner,2,0.16,11.5
54,54,54,54,54,25.56,4.34,Male,No,Sun,Dinner,4,0.14,29.9
55,55,55,55,55,19.49,3.51,Male,No,Sun,Dinner,2,0.16,23.0
56,56,56,56,56,38.01,3.0,Male,Yes,Sat,Dinner,4,0.14,41.01
57,57,57,57,57,26.41,1.5,Female,No,Sat,Dinner,2,0.16,27.91
58,58,58,58,58,11.24,1.76,Male,Yes,Sat,Dinner,2,0.16,13.0
59,59,59,59,59,48.27,6.73,Male,No,Sat,Dinner,4,0.14,55.0
60,60,60,60,60,20.29,3.21,Male,Yes,Sat,Dinner,2,0.16,23.5
61,61,61,61,61,13.81,2.0,Male,Yes,Sat,Dinner,2,0.16,15.81
62,62,62,62,62,11.02,1.98,Male,Yes,Sat,Dinner,2,0.16,13.0
63,63,63,63,63,18.29,3.76,Male,Yes,Sat,Dinner,4,0.14,22.049999999999997
64,64,64,64,64,17.59,2.64,Male,No,Sat,Dinner,3,0.15,20.23
65,65,65,65,65,20.08,3.15,Male,No,Sat,Dinner,3,0.15,23.229999999999997
66,66,66,66,66,16.45,2.47,Female,No,Sat,Dinner,2,0.16,18.919999999999998
67,67,67,67,67,3.07,1.0,Female,Yes,Sat,Dinner,1,0.17,4.07
68,68,68,68,68,20.23,2.01,Male,No,Sat,Dinner,2,0.16,22.240000000000002
69,69,69,69,69,15.01,2.09,Male,Yes,Sat,Dinner,2,0.16,17.1
70,70,70,70,70,12.02,1.97,Male,No,Sat,Dinner,2,0.16,13.99
71,71,71,71,71,17.07,3.0,Female,No,Sat,Dinner,3,0.15,20.07
72,72,72,72,72,26.86,3.14,Female,Yes,Sat,Dinner,2,0.16,30.0
73,73,73,73,73,25.28,5.0,Female,Yes,Sat,Dinner,2,0.16,30.28
74,74,74,74,74,14.73,2.2,Female,No,Sat,Dinner,2,0.16,16.93
75,75,75,75,75,10.51,1.25,Male,No,Sat,Dinner,2,0.16,11.76
76,76,76,76,76,17.92,3.08,Male,Yes,Sat,Dinner,2,0.16,21.0
77,77,77,77,77,27.2,4.0,Male,No,Thur,Lunch,4,0.14,31.2
78,78,78,78,78,22.76,3.0,Male,No,Thur,Lunch,2,0.16,25.76
