Sex,Age,familys,Embarked,Survived
male,2.0,4,S,0
female,14.0,1,C,1
female,4.0,2,S,1
female,14.0,0,S,0
male,2.0,5,Q,0
female,15.0,0,Q,1
female,8.0,4,S,0
female,14.0,1,C,1
female,3.0,3,C,1
male,7.0,5,S,0
female,5.0,3,S,1
male,11.0,7,S,0
male,4.0,5,S,0
female,17.0,6,S,1
female,16.0,7,S,0
male,0.83,2,S,1
female,17.0,0,S,1
male,16.0,4,S,0
female,14.5,1,C,0
female,17.0,0,C,0
female,2.0,6,S,0
male,12.0,1,C,1
male,16.0,0,S,0
female,9.0,4,S,0
female,16.0,0,Q,1
male,17.0,0,S,0
male,1.0,5,S,0
male,9.0,2,S,1
male,4.0,5,Q,0
female,1.0,2,S,1
male,9.0,6,S,0
male,1.0,3,S,1
female,4.0,2,S,1
male,3.0,2,S,1
female,2.0,1,S,0
female,16.0,0,Q,1
male,16.0,0,S,1
female,5.0,6,S,1
female,8.0,2,S,1
male,3.0,6,S,1
male,16.0,5,S,0
male,7.0,5,Q,0
male,16.0,0,S,0
female,2.0,3,S,0
male,0.92,3,S,1
female,17.0,1,C,1
female,16.0,1,C,1
male,16.0,2,S,0
male,2.0,2,S,1
male,3.0,2,S,1
male,15.0,2,C,0
female,3.0,4,S,0
female,1.0,2,C,1
male,1.0,7,S,0
female,17.0,0,C,1
male,3.0,2,S,1
female,10.0,2,S,0
male,17.0,0,S,0
female,14.0,3,S,1
male,4.0,2,S,1
female,13.0,1,S,1
female,5.0,3,C,1
female,0.75,3,C,1
female,2.0,1,S,1
male,9.0,7,S,0
male,9.0,2,S,1
male,17.0,0,S,0
female,16.0,0,S,1
female,2.0,2,S,1
male,17.0,2,C,0
female,7.0,2,S,1
female,9.0,6,S,0
female,11.0,6,S,0
male,8.0,2,S,1
male,17.0,2,C,1
male,16.0,0,S,0
female,4.0,3,S,1
female,9.0,5,S,0
female,2.0,5,S,0
female,0.75,3,C,1
male,14.0,7,S,0
male,14.0,5,S,0
female,15.0,1,S,1
female,4.0,1,C,1
female,6.0,1,S,1
male,17.0,1,S,0
male,11.0,0,C,0
male,16.0,2,S,0
female,4.0,2,S,1
male,6.0,1,S,1
male,0.67,2,S,1
male,16.0,0,S,0
female,5.0,0,S,1
female,13.0,0,C,1
female,17.0,1,S,1
male,8.0,5,Q,0
male,1.0,3,S,1
male,16.0,0,S,0
male,11.0,3,S,1
male,0.42,1,C,1
female,6.0,6,S,0
male,10.0,5,S,0
male,2.0,5,S,0
male,1.0,2,C,1
female,15.0,1,C,1
male,0.83,2,S,1
male,16.0,0,S,0
male,17.0,0,S,0
male,4.0,6,S,0
female,9.0,2,C,0
female,16.0,1,S,1
male,4.0,2,S,1
female,15.0,0,C,1
male,14.0,0,S,0
male,9.0,1,S,0
male,10.0,5,Q,0
male,17.0,0,S,0
male,13.0,4,C,0
male,6.0,2,C,0
male,2.0,2,S,0
female,16.0,2,C,1
female,1.0,2,S,1
female,12.0,0,S,1
female,17.0,1,S,1
female,10.0,7,S,1
male,13.0,6,S,0
male,7.0,2,C,0
female,15.0,2,S,1
male,17.0,2,S,0
male,11.5,2,S,0
male,8.0,2,S,0
male,6.0,2,C,0
male,0.33,2,S,0
female,8.0,2,S,1
male,17.0,0,S,0
male,14.0,0,S,0
female,0.92,3,S,1
female,1.0,2,S,1
male,17.0,0,S,0
male,0.75,2,S,0
female,9.0,2,C,1
female,2.0,2,S,1
female,1.0,3,C,1
male,0.83,1,S,0
female,17.0,0,Q,1
female,12.0,3,S,1
female,16.0,0,S,1
female,0.17,3,S,1
male,14.5,10,S,0
male,5.0,6,S,0
male,6.0,4,S,0
male,13.0,2,S,0
male,17.0,0,S,0
female,3.0,2,S,1
